id,text,label,label_text,meta_doc_drugs,meta_prev_context,span_offsets,source_file,final_pred,agent_reasoning
LIPITOR.809_2,"My body tells me when something is not good for me and I stopped taking it after 5 days.
",0,Not-Related,Lipitor,"Diarrhea was constant and I didn't feel right.
","119, 208",LIPITOR.809.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.809_3,"Strange how the highest numbers for liking the drug, Lipitor, are listed first.
",0,Not-Related,Lipitor,"My body tells me when something is not good for me and I stopped taking it after 5 days.
","208, 288",LIPITOR.809.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.809_4,"Who backs this website?.
",0,Not-Related,Lipitor,"Strange how the highest numbers for liking the drug, Lipitor, are listed first.
","288, 313",LIPITOR.809.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.376_0,"Memory loss/ability to concentrate.
",1,Related,Crestor; Lipitor,,"0, 36",LIPITOR.376.txt,1,The text describes a physiological issue (cognitive dysfunction) that is a known potential adverse effect associated with statin medications like Crestor and Lipitor.
LIPITOR.376_1,"Prescribed 20mg for the past 3 years or so, my cholesterol levels have all been normal since starting this medicine.
",0,Not-Related,Crestor; Lipitor,"Memory loss/ability to concentrate.
","36, 153",LIPITOR.376.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.376_2,"Originally I was given Crestor 10mg, but experienced muscle pain, and was given Lipitor.
",1,Related,Crestor; Lipitor,"Prescribed 20mg for the past 3 years or so, my cholesterol levels have all been normal since starting this medicine.
","153, 242",LIPITOR.376.txt,1,"The text explicitly states 'experienced muscle pain' after being given Crestor, which is a physiological issue occurring during drug use."
LIPITOR.376_3,"The only problem is I feel I have suffered memory loss and the ability to concentrate since taking this medication.
",1,Related,Crestor; Lipitor,"Originally I was given Crestor 10mg, but experienced muscle pain, and was given Lipitor.
","242, 358",LIPITOR.376.txt,1,"The text describes new onset of memory loss and difficulty concentrating, which are physiological issues, explicitly stating they occurred 'since taking this medication', indicating a temporal relationship with the drug."
LIPITOR.570_0,"Muscle Pain in left arm and upper back.
",0,Not-Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,,"0, 40",LIPITOR.570.txt,1,"The text describes 'Muscle Pain', which is a physiological issue and a known potential side effect of statin medications like Lipitor. There is no indication that this is the reason for taking the drug, a pre-existing condition, or a negation."
LIPITOR.570_1,"Hair dryness, breakage and loss.
",0,Not-Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"Muscle Pain in left arm and upper back.
","40, 73",LIPITOR.570.txt,1,"The text describes physiological symptoms (hair dryness, breakage, and loss) which are not indications for the listed drugs and are presented as potential adverse events."
LIPITOR.570_2,"I was able to stop the muscle pain in its tracks by taking CoQ10 supplements but the hair dryness, breakage and loss is not good.
",1,Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"Hair dryness, breakage and loss.
","73, 203",LIPITOR.570.txt,1,"The text describes 'hair dryness, breakage and loss' as a physiological issue that is 'not good', implying it is an undesirable effect occurring during the period of drug use (CoQ10, and potentially other drugs like Lipitor/Lipidil if CoQ10 is used to mitigate their side effects)."
LIPITOR.570_3,"Currently trying to find a supplement to counter hair loss.
",1,Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"I was able to stop the muscle pain in its tracks by taking CoQ10 supplements but the hair dryness, breakage and loss is not good.
","203, 263",LIPITOR.570.txt,0,"The text describes a user seeking a supplement for hair loss, but does not establish a causal link between the hair loss and any of the listed drugs. It's a general health concern, not an adverse event attributed to the drug."
LIPITOR.570_4,"If I can find something, I will stay on Lipitor.
",0,Not-Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"Currently trying to find a supplement to counter hair loss.
","263, 312",LIPITOR.570.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.570_5,"It has lowered my Cholesterol from 11.7 to 7 !
",0,Not-Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"If I can find something, I will stay on Lipitor.
","312, 359",LIPITOR.570.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.570_6,"My doctor wanted me to switch from Lipitor to Lipidil Micro as I was so upset by the hair loss and muscle pain but I have stopped having muscle pain by taking CoQ10 and before I switch to another drug that may have other side effects, I want to research it (Lipidil) further.
",0,Not-Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"It has lowered my Cholesterol from 11.7 to 7 !
","359, 635",LIPITOR.570.txt,1,"The text explicitly states the user experienced 'hair loss' and 'muscle pain' which led their doctor to suggest switching from 'Lipitor', indicating these were adverse effects of Lipitor."
LIPITOR.570_7,"If anyone has experienced hair loss on Lipidil please let me know.
",0,Not-Related,CoQ10; Lipidil; Lipidil Micro; Lipitor,"My doctor wanted me to switch from Lipitor to Lipidil Micro as I was so upset by the hair loss and muscle pain but I have stopped having muscle pain by taking CoQ10 and before I switch to another drug that may have other side effects, I want to research it (Lipidil) further.
","635, 702",LIPITOR.570.txt,1,"The text describes a physiological issue (hair loss) and directly asks if it was experienced 'on Lipidil', indicating a potential adverse drug event associated with the drug."
LIPITOR.202_0,"periodic achy muscles.
",1,Related,LIPITOR.202,,"0, 23",LIPITOR.202.txt,1,Achy muscles (myalgia) are a known and common side effect of statin medications like Lipitor. The text describes a physiological issue consistent with an adverse drug event.
LIPITOR.202_1,"20 mg.
brought my counts way down.
",0,Not-Related,LIPITOR.202,"periodic achy muscles.
","23, 58",LIPITOR.202.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.558_0,"After 1 1/2 years of taking 10 mg/ day I am experiencing constant gas and diarrhea.
",1,Related,LIPITOR.558,,"0, 84",LIPITOR.558.txt,1,"The text describes new physiological symptoms (constant gas and diarrhea) that began after 1 1/2 years of taking the drug, indicating they occurred during drug use."
LIPITOR.558_1,"Have stopped taking drug one week ago and hope this goes away.
",0,Not-Related,LIPITOR.558,"After 1 1/2 years of taking 10 mg/ day I am experiencing constant gas and diarrhea.
","84, 147",LIPITOR.558.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.558_2,"Excellent job of lowering my cholesterol!.
",0,Not-Related,LIPITOR.558,"Have stopped taking drug one week ago and hope this goes away.
","147, 190",LIPITOR.558.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.996_0,"unexplained cough.
",1,Related,Lipitor,,"0, 19",LIPITOR.996.txt,1,"The text describes a physiological issue ('unexplained cough') which is a potential adverse drug event, and it is not an indication for Lipitor, a negation, pre-existing, or a logistical complaint."
LIPITOR.996_1,"Doctors was unaware of this being a side effect of the drug.
",0,Not-Related,Lipitor,"unexplained cough.
","19, 80",LIPITOR.996.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.996_2,"I stopped using it 3 days ago and the cough is gone.
",1,Related,Lipitor,"Doctors was unaware of this being a side effect of the drug.
","80, 133",LIPITOR.996.txt,1,"The text describes a physiological issue ('cough') that resolved after discontinuing the drug, implying a temporal relationship where the drug was causing the symptom."
LIPITOR.996_3,"Last week, also stopped for two days and the cough stopped.
",1,Related,Lipitor,"I stopped using it 3 days ago and the cough is gone.
","133, 193",LIPITOR.996.txt,1,"The text describes a cough that stopped after discontinuing the drug, indicating a potential adverse drug event with a positive dechallenge."
LIPITOR.996_4,"Each time I go back to taking Lipitor, I begin to cough heavily.
",1,Related,Lipitor,"Last week, also stopped for two days and the cough stopped.
","193, 258",LIPITOR.996.txt,1,"The text describes a new physiological symptom (heavy cough) that consistently begins each time the patient takes Lipitor, indicating a temporal association with the drug."
LIPITOR.943_0,"tired-weak-pains all over body-groggy-light headed.
",1,Related,LIPITOR.943,,"0, 52",LIPITOR.943.txt,1,"The text describes multiple physiological symptoms (tiredness, weakness, body pains, grogginess, light-headedness) that are consistent with potential adverse drug effects and are not an indication for taking Lipitor, nor are they negated or described as pre-existing."
LIPITOR.943_1,"all these statin drugs are death in a bottle.
",0,Not-Related,LIPITOR.943,"tired-weak-pains all over body-groggy-light headed.
","52, 98",LIPITOR.943.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.943_2,"they are the perfect med as they will cause the poor dumb patient to spend huge sums of money on tests-pain killers and other statins till they will one day they will just give up and lay down and die-BROKE-what a well laid plan by big pharma and covered by the criminal FDA food and drug syndicate.
",0,Not-Related,LIPITOR.943,"all these statin drugs are death in a bottle.
","98, 398",LIPITOR.943.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.764_0,"Minor joint soreness, fatigue, have a hard time getting up in the morning.
",1,Related,Chondroitin; Glucosamine; Lipitor; Lopid,,"0, 75",LIPITOR.764.txt,1,"The text describes physiological issues (joint soreness, fatigue, difficulty getting up) which are potential side effects of the listed drugs, particularly Lipitor and Lopid (known for muscle-related issues and fatigue)."
LIPITOR.764_1,"I used to hop out of bed ready to go.
",0,Not-Related,Chondroitin; Glucosamine; Lipitor; Lopid,"Minor joint soreness, fatigue, have a hard time getting up in the morning.
","75, 113",LIPITOR.764.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.764_2,"Right knee always sore and swollen.
",0,Not-Related,Chondroitin; Glucosamine; Lipitor; Lopid,"I used to hop out of bed ready to go.
","113, 149",LIPITOR.764.txt,0,"The phrase 'always sore and swollen' suggests a pre-existing condition or the indication for which Chondroitin/Glucosamine might be taken, rather than a new adverse event caused by the drugs."
LIPITOR.764_3,"After 8 months, I have lowered my cholesterol to a safe level using Lipitor.
",0,Not-Related,Chondroitin; Glucosamine; Lipitor; Lopid,"Right knee always sore and swollen.
","149, 226",LIPITOR.764.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.764_4,"I am also on Lopid to reduce Triglycerides.
",0,Not-Related,Chondroitin; Glucosamine; Lipitor; Lopid,"After 8 months, I have lowered my cholesterol to a safe level using Lipitor.
","226, 270",LIPITOR.764.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.764_5,"I take Glucosamine and Chondroitin to reduce joint soreness.
",0,Not-Related,Chondroitin; Glucosamine; Lipitor; Lopid,"I am also on Lopid to reduce Triglycerides.
","270, 331",LIPITOR.764.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.764_6,"seems to be working so far.
",0,Not-Related,Chondroitin; Glucosamine; Lipitor; Lopid,"I take Glucosamine and Chondroitin to reduce joint soreness.
","331, 359",LIPITOR.764.txt,0,Auto-Rejected by Hunter (Low Probability)
ARTHROTEC.12_0,"Some stomach sensitivity.
",1,Related,ARTHROTEC.12,,"0, 26",ARTHROTEC.12.txt,1,Stomach sensitivity is a physiological issue and a known potential adverse effect of NSAIDs like ARTHROTEC. The text implies it occurred in relation to the drug.
ARTHROTEC.12_1,"I am taking it only 1 time per day because of the possible side effects.
",0,Not-Related,ARTHROTEC.12,"Some stomach sensitivity.
","26, 99",ARTHROTEC.12.txt,0,Auto-Rejected by Hunter (Low Probability)
ARTHROTEC.12_2,"Without this drug I was severly restricted and could only walk less than 100 meters.
",0,Not-Related,ARTHROTEC.12,"I am taking it only 1 time per day because of the possible side effects.
","99, 184",ARTHROTEC.12.txt,0,"The text describes the patient's pre-existing condition or the indication for which the drug was taken, not a new adverse event caused by the drug. The drug appears to have alleviated this condition."
ARTHROTEC.12_3,"With the drug I can walk 1/2 km and function.
",0,Not-Related,ARTHROTEC.12,"Without this drug I was severly restricted and could only walk less than 100 meters.
","184, 230",ARTHROTEC.12.txt,0,Auto-Rejected by Hunter (Low Probability)
ARTHROTEC.12_4,"I am thinking of increasing it to twice per day and/or getting surgery and/or epidural steroid injection.
",0,Not-Related,ARTHROTEC.12,"With the drug I can walk 1/2 km and function.
","230, 336",ARTHROTEC.12.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.348_0,"Definitely short term memory issues, but I'm 44 and I suppose it could be part of menopause on its way.
lowered overall cholesterol and my hdl went up to 59 from 35, and triglycerides went down but not enough.
",1,Related,LIPITOR.348,,"0, 210",LIPITOR.348.txt,1,"The user reports 'short term memory issues' which is a physiological symptom, mentioned in the context of their experience with Lipitor. Although an alternative cause (menopause) is suggested, the symptom is still reported as occurring."
LIPITOR.348_1,"LDL down too but not enough so taking higher dose now.
",0,Not-Related,LIPITOR.348,"Definitely short term memory issues, but I'm 44 and I suppose it could be part of menopause on its way.
lowered overall cholesterol and my hdl went up to 59 from 35, and triglycerides went down but not enough.
","210, 265",LIPITOR.348.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.348_2,"Worked like a champ at 10 mg for first two years.
",0,Not-Related,LIPITOR.348,"LDL down too but not enough so taking higher dose now.
","265, 315",LIPITOR.348.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.348_3,"Now switched from GP to cardiologist and he's upped it to 40 mg so will see.
have only taken 3 tablets since new dosage.

",0,Not-Related,LIPITOR.348,"Worked like a champ at 10 mg for first two years.
","315, 437",LIPITOR.348.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.360_0,"My mother started taking 40 mg. of Lipitor 3 months ago.
",0,Not-Related,Lipitor,,"0, 57",LIPITOR.360.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.360_1,"During the first month she complained about her head hurting.
",1,Related,Lipitor,"My mother started taking 40 mg. of Lipitor 3 months ago.
","57, 119",LIPITOR.360.txt,1,"The text describes a physiological issue ('head hurting') that occurred during the first month of drug use, which is consistent with a potential adverse drug event."
LIPITOR.360_2,"She began getting very confused.
",1,Related,Lipitor,"During the first month she complained about her head hurting.
","119, 152",LIPITOR.360.txt,1,The text describes a new mental state (confusion) which is a physiological issue and could be an adverse drug event.
LIPITOR.360_3,"She was always exhausted, falling asleep all the time.
",1,Related,Lipitor,"She began getting very confused.
","152, 207",LIPITOR.360.txt,1,"The text describes a physiological issue (exhaustion, somnolence) which is a potential adverse effect of Lipitor. No 'NO' conditions are met."
LIPITOR.360_4,"Complained about her legs always feeling like lead.
",1,Related,Lipitor,"She was always exhausted, falling asleep all the time.
","207, 259",LIPITOR.360.txt,1,"The text describes a physiological symptom (legs feeling like lead/fatigue) which is consistent with a known muscle-related side effect (myalgia, muscle weakness) of Lipitor (statins). There is no explicit information indicating it was pre-existing before drug use or an indication for the drug."
LIPITOR.360_5,"Within the last six weeks, her physical health has deteriorated to the point of her being confined to a wheelchair, in constant pain with her shoulders, knees, and a feeling like her whole body hurts.
",1,Related,Lipitor,"Complained about her legs always feeling like lead.
","259, 460",LIPITOR.360.txt,1,"The text describes severe physical deterioration, constant pain in multiple joints, and confinement to a wheelchair, which are physiological issues consistent with potential adverse drug events (e.g., myalgia, myopathy) associated with statins like Lipitor. The timing 'Within the last six weeks' suggests a recent onset or worsening."
LIPITOR.360_6,"She shakes as if she has Parkinsons.
",0,Not-Related,Lipitor,"Within the last six weeks, her physical health has deteriorated to the point of her being confined to a wheelchair, in constant pain with her shoulders, knees, and a feeling like her whole body hurts.
","460, 497",LIPITOR.360.txt,1,The text describes a physiological symptom (shaking/tremors) that is not an indication for Lipitor and is not explicitly negated or stated as pre-existing.
LIPITOR.360_7,"If I had not seen the news recently about the two men suing Pfizer over what Lipitor had done to their lives, I wouldn't have even thought about that being the cause.
",0,Not-Related,Lipitor,"She shakes as if she has Parkinsons.
","497, 664",LIPITOR.360.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.360_8,"Finding this website confirmed it.
",0,Not-Related,Lipitor,"If I had not seen the news recently about the two men suing Pfizer over what Lipitor had done to their lives, I wouldn't have even thought about that being the cause.
","664, 699",LIPITOR.360.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.360_9,"I have taken her off the Lipitor, and am hoping that alot of her pain and fatigue and muscle problems will start to get better, although it scares me that alot of people are saying they haven't improved.
",1,Related,Lipitor,"Finding this website confirmed it.
","699, 903",LIPITOR.360.txt,1,"The text describes physiological issues (pain, fatigue, muscle problems) that are hoped to improve after discontinuing Lipitor, strongly implying they were caused by or exacerbated by the drug."
LIPITOR.360_10,"I wish I had know about this a week after she started with the symptoms.
",0,Not-Related,Lipitor,"I have taken her off the Lipitor, and am hoping that alot of her pain and fatigue and muscle problems will start to get better, although it scares me that alot of people are saying they haven't improved.
","903, 976",LIPITOR.360.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.360_11,"I would NEVER recommend this drug to anyone!
",0,Not-Related,Lipitor,"I wish I had know about this a week after she started with the symptoms.
","976, 1021",LIPITOR.360.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.360_12,"It has ruined whatever years my mother had left to enjoy life - she was very active for her age - now she's in a wheelchair.
",0,Not-Related,Lipitor,"I would NEVER recommend this drug to anyone!
","1021, 1146",LIPITOR.360.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.823_0,"Cramps in calves several times a day.
",1,Related,LIPITOR.823,,"0, 38",LIPITOR.823.txt,1,"The text describes a physiological issue (cramps) that is a known potential side effect of statins like Lipitor, and there is no indication it's a pre-existing condition, the drug's indication, or a negation."
LIPITOR.823_1,"Legs feel tired and swollen.
",0,Not-Related,LIPITOR.823,"Cramps in calves several times a day.
","38, 67",LIPITOR.823.txt,1,"The text describes physiological symptoms (tired and swollen legs) that are not an indication for Lipitor, nor are they negated or described as pre-existing."
LIPITOR.823_2,"Neck and shoulders ache and are sore all the time.
",0,Not-Related,LIPITOR.823,"Legs feel tired and swollen.
","67, 118",LIPITOR.823.txt,1,"The text describes a physiological issue (pain and soreness in the neck and shoulders), which is a known potential side effect of Lipitor (myalgia)."
LIPITOR.823_3,"I am going off of it.
",0,Not-Related,LIPITOR.823,"Neck and shoulders ache and are sore all the time.
","118, 140",LIPITOR.823.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.189_0,"Gradual numbing of the feet over a period of a year.
",0,Not-Related,Lipitor; Zocor,,"0, 53",LIPITOR.189.txt,1,"The text describes a physiological issue (numbing of the feet) which is a known potential adverse effect (peripheral neuropathy) associated with statin use (Lipitor, Zocor)."
LIPITOR.189_1,"Started on Zocor and Insurance recommended switch to Lipitor and had gradual side effects.
",0,Not-Related,Lipitor; Zocor,"Gradual numbing of the feet over a period of a year.
","53, 144",LIPITOR.189.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.189_2,"I'm back on Zocor and doing much better after a week.
",0,Not-Related,Lipitor; Zocor,"Started on Zocor and Insurance recommended switch to Lipitor and had gradual side effects.
","144, 198",LIPITOR.189.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.189_3,"I would not recommend Lipitor.
",0,Not-Related,Lipitor; Zocor,"I'm back on Zocor and doing much better after a week.
","198, 229",LIPITOR.189.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.604_0,"depression was awful!!!!
",1,Related,LIPITOR.604,,"0, 25",LIPITOR.604.txt,1,"The text describes a physiological issue (depression) which is a known potential adverse effect, and there is no information to suggest it is an indication, pre-existing condition, or negated."
LIPITOR.604_1,"Took increasing doses to be good.
",1,Related,LIPITOR.604,"depression was awful!!!!
","25, 59",LIPITOR.604.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.604_2,"Depression increased as well.
",1,Related,LIPITOR.604,"Took increasing doses to be good.
","59, 89",LIPITOR.604.txt,1,"The text describes an increase in depression, which is a physiological/mental state change, implying it occurred during or after drug use and is not an indication for Lipitor."
LIPITOR.604_3,"Went on and off it six times and each time I restarted the medicine severe depression reoccured the went away quickly after stopping it.
",1,Related,LIPITOR.604,"Depression increased as well.
","89, 226",LIPITOR.604.txt,1,"The text describes severe depression reoccurring each time the medicine was restarted and resolving after stopping it, indicating a clear temporal and causal relationship with the drug."
LIPITOR.604_4,"Will not go near it again.
",0,Not-Related,LIPITOR.604,"Went on and off it six times and each time I restarted the medicine severe depression reoccured the went away quickly after stopping it.
","226, 253",LIPITOR.604.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.604_5,"Better a heart attack than suicide.
",0,Not-Related,LIPITOR.604,"Will not go near it again.
","253, 289",LIPITOR.604.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.375_0,"Deafness, muscle pain, chronic rhinitus, upper respiratory infections, short term memory loss (really scary), tendonitis, fatigue, flatulance, stomach discomfort, abdominal cramps.
",1,Related,LIPITOR.375,,"0, 181",LIPITOR.375.txt,1,"The text lists multiple physiological issues (deafness, muscle pain, memory loss, etc.) which are consistent with potential adverse drug events and are not indications for Lipitor, nor are they negated or stated as pre-existing."
LIPITOR.361_0,"Aching over my entire body, extreme fatigue, stiffness when getting up in the morning or getting up after being off my feet for awhile.
",1,Related,LIPITOR.361,,"0, 136",LIPITOR.361.txt,1,"The text describes physiological symptoms (aching, fatigue, stiffness) that are consistent with known adverse effects of statin medications like Lipitor, and there is no indication that these symptoms are the drug's indication, pre-existing, or negated."
LIPITOR.361_1,"Doctors make me feel like I am crazy.
",0,Not-Related,LIPITOR.361,"Aching over my entire body, extreme fatigue, stiffness when getting up in the morning or getting up after being off my feet for awhile.
","136, 174",LIPITOR.361.txt,0,"The text describes a feeling related to interactions with doctors, not a direct physiological or mental symptom caused by the drug. There is no causal link to LIPITOR."
LIPITOR.361_2,"Also had severe depression.
",1,Related,LIPITOR.361,"Doctors make me feel like I am crazy.
","174, 202",LIPITOR.361.txt,1,"The text describes a physiological issue (severe depression) that occurred in conjunction with the drug, and it is not an indication for Lipitor nor explicitly stated as pre-existing."
LIPITOR.361_3,"Have taken 2-3 different statins.
",0,Not-Related,LIPITOR.361,"Also had severe depression.
","202, 236",LIPITOR.361.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.361_4,"Like others who have written in, I have felt as though I am 100 yrs.",0,Not-Related,LIPITOR.361,"Have taken 2-3 different statins.
","236, 304",LIPITOR.361.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.361_5,"old.
",0,Not-Related,LIPITOR.361,"Like others who have written in, I have felt as though I am 100 yrs.","305, 310",LIPITOR.361.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.361_6,"There is a wonderful website Spacedoc.net with much information on the statins, and he has published a book as well on the serious side effects of the statins.
",0,Not-Related,LIPITOR.361,"old.
","310, 470",LIPITOR.361.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_0,"Just before this last Christmas I had a small stroke and spent three days in the hospital.
",0,Not-Related,Lipitor,,"0, 91",LIPITOR.201.txt,1,"The text describes a new physiological event ('small stroke') that occurred, and there is no information to classify it as an indication, pre-existing condition, or negated symptom in relation to Lipitor."
LIPITOR.201_1,"To make a long story short, there are no after effects of the stroke.
",0,Not-Related,Lipitor,"Just before this last Christmas I had a small stroke and spent three days in the hospital.
","91, 161",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_2,"In other words the symptoms went away.
",0,Not-Related,Lipitor,"To make a long story short, there are no after effects of the stroke.
","161, 200",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_3,"But, my Doc put me on Aggrenox and 20mg of Lipitor.
",0,Not-Related,Lipitor,"In other words the symptoms went away.
","200, 252",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_4,"I have very high arches and have had a little tingling in my feet for years.
",1,Related,Lipitor,"But, my Doc put me on Aggrenox and 20mg of Lipitor.
","252, 329",LIPITOR.201.txt,0,"The tingling in the feet is described as a pre-existing condition, present 'for years', indicating it is not a new symptom caused by Lipitor."
LIPITOR.201_5,"This is really helped with a good arch support.
",0,Not-Related,Lipitor,"I have very high arches and have had a little tingling in my feet for years.
","329, 377",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_6,"But for the last two months the pain in my feet and calves (and sometimes thigh) has gotten much worse.
",1,Related,Lipitor,"This is really helped with a good arch support.
","377, 481",LIPITOR.201.txt,1,"The text describes muscle pain in the feet, calves, and thigh which has worsened over the last two months. Muscle pain (myalgia) is a known and common adverse drug event associated with Lipitor (atorvastatin)."
LIPITOR.201_7,"I cannot walk very far and sleeping has become a problem because of the pain.
",1,Related,Lipitor,"But for the last two months the pain in my feet and calves (and sometimes thigh) has gotten much worse.
","481, 559",LIPITOR.201.txt,1,"The text describes new or worsened physiological issues (pain, difficulty walking, sleep problems) which are consistent with known adverse effects of Lipitor (e.g., myalgia, myopathy)."
LIPITOR.201_8,"Because of the preexisting arch problem, I thought it was just naturally getting worse but after finding this web site I am not sure if it is not the Lipitor.
",0,Not-Related,Lipitor,"I cannot walk very far and sleeping has become a problem because of the pain.
","559, 718",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_9,"On a pain scale it has gone from a 1 or 2 to 7 or 8.
",1,Related,Lipitor,"Because of the preexisting arch problem, I thought it was just naturally getting worse but after finding this web site I am not sure if it is not the Lipitor.
","718, 771",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_10,"I have a followup apointment with my Doctor in two days and was thinking of asking him if I could go off the Lipitor.
",0,Not-Related,Lipitor,"On a pain scale it has gone from a 1 or 2 to 7 or 8.
","771, 889",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.201_11,"What do you think? .
",0,Not-Related,Lipitor,"I have a followup apointment with my Doctor in two days and was thinking of asking him if I could go off the Lipitor.
","889, 910",LIPITOR.201.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.8_0,"Back, hip thigh, knee pain, which is affecting my gait.
",1,Related,Lipitor,,"0, 56",LIPITOR.8.txt,1,The text describes physiological issues (pain in multiple joints and gait disturbance) which are potential adverse effects and not an indication for Lipitor.
LIPITOR.8_1,"Memory loss.
",1,Related,Lipitor,"Back, hip thigh, knee pain, which is affecting my gait.
","56, 69",LIPITOR.8.txt,1,"Memory loss is a physiological issue that can be an adverse drug event. There is no information to suggest it is an indication, pre-existing, or negated."
LIPITOR.8_2,"I almost forgot(did I say memory loss?).
",1,Related,Lipitor,"Memory loss.
","69, 110",LIPITOR.8.txt,1,"The text explicitly mentions 'memory loss,' which is a physiological issue and a potential adverse effect. The phrasing implies the user is experiencing this symptom."
LIPITOR.8_3,"fatigue.
",1,Related,Lipitor,"I almost forgot(did I say memory loss?).
","110, 119",LIPITOR.8.txt,1,Fatigue is a physiological symptom and not an indication for Lipitor. There is no information to suggest it is pre-existing or negated.
LIPITOR.8_4,"As the dose increases the pain has worsened.
",1,Related,Lipitor,"fatigue.
","119, 164",LIPITOR.8.txt,1,"The text describes 'pain' worsening with an increase in drug dose, indicating a physiological issue temporally related to the drug's administration."
LIPITOR.8_5,"I have been on Lipitor for probably 10 yrs.
Have tried nearly all statins with similar side effects.
",0,Not-Related,Lipitor,"As the dose increases the pain has worsened.
","164, 265",LIPITOR.8.txt,0,Auto-Rejected by Hunter (Low Probability)
LIPITOR.8_6,"10 mg no real side effects, no real benefits either; 40 mgs- fatigue, muscle aches but able to tolerate it though not happy and still no appreciable change in cholesterol.
",1,Related,Lipitor,"I have been on Lipitor for probably 10 yrs.
Have tried nearly all statins with similar side effects.
","265, 437",LIPITOR.8.txt,1,"The text describes new physiological symptoms (fatigue, muscle aches) that occurred after increasing the dose of Lipitor to 40mg, which are consistent with known adverse effects of statins."
LIPITOR.8_7,"now on 80 mg and feeling extremely uncomfortable.
",0,Not-Related,Lipitor,"10 mg no real side effects, no real benefits either; 40 mgs- fatigue, muscle aches but able to tolerate it though not happy and still no appreciable change in cholesterol.
","437, 487",LIPITOR.8.txt,1,The text describes a negative physiological/mental state ('feeling extremely uncomfortable') that is temporally associated with being on the drug ('now on 80 mg').
LIPITOR.8_8,"Why am I on 80 mg?
because the insurance company required a trial at this high level, before I can switch to an alternative and reduce the dose back to 40 mg.
",0,Not-Related,Lipitor,"now on 80 mg and feeling extremely uncomfortable.
","487, 646",LIPITOR.8.txt,0,Auto-Rejected by Hunter (Low Probability)
